,0,1
0,-0.86181,-2.8255
1,-1.0486,0.048238
2,0.11701,-0.1635
3,-0.55392,-0.99925
4,-1.3057,-0.70531
5,0.099414,2.2157
6,0.89228,1.8462
7,2.0653,1.5914
8,-1.1926,0.68148
9,-1.0547,-0.20605
10,0.92084,-1.4126
11,0.55384,-0.55164
12,0.5826,0.38685
13,-1.6216,0.31788
14,-1.4749,-1.4963
15,-0.77297,-2.0862
16,-0.90663,-0.28611
17,0.29236,-0.6043
18,1.2771,-1.6897
19,0.4095,-1.7383
20,0.20593,1.5338
21,-0.52668,1.5991
22,-0.37723,0.89389
23,-1.7617,-1.1544
24,-1.3034,-0.35266
25,-2.1804,-1.462
26,-0.36361,-0.56641
27,0.9386,-2.2194
28,-1.2188,-0.90132
29,-0.64236,-1.1533
30,0.49985,-1.5054
31,0.38117,-0.53301
32,-0.087523,0.53526
33,0.59991,0.98326
34,-0.086084,-0.36682
35,-0.10146,-1.3264
36,2.1836,-1.4829
37,3.4008,-1.1587
38,1.8658,-0.76599
39,1.8018,-0.18045
40,0.26875,-0.18772
41,0.80777,0.7951
42,-0.64862,0.33884
43,-0.44788,0.96486
44,-0.11969,0.4635
45,-1.1041,0.22579
46,-0.29645,0.36824
47,0.085075,0.90194
48,0.15835,1.7758
49,-1.6663,1.6687
50,-1.1311,2.3157
51,-0.5325,0.45924
52,1.1743,1.4045
53,1.5023,0.93894
54,0.12346,-0.39001
55,-0.34804,-0.86143
56,0.42015,-0.30739
57,-0.14374,1.7415
58,0.052736,1.5777
59,-1.4897,0.73714
60,-3.0662,-1.1298
61,-0.19358,-0.33599
62,0.84969,0.84032
63,-1.6143,2.0128
64,-2.819,-0.71943
65,-2.9236,-1.0236
66,-1.9896,-1.1482
67,-0.81374,-0.08088
68,0.95803,0.83679
69,0.52661,0.43461
70,0.55772,-0.51793
71,0.79438,-2.2585
72,0.10839,-2.2738
73,0.55513,-2.725
74,-0.051055,-0.23873
75,0.27596,1.6997
76,-0.45576,-0.42883
77,1.281,0.052123
78,-0.10703,-0.92278
79,-0.38224,-0.42419
80,2.0756,0.16925
81,0.13976,-0.20679
82,-1.8111,0.66792
83,-1.1509,1.2415
84,-0.61297,1.0805
85,0.62771,0.90346
86,0.65076,0.071042
87,0.2365,0.68136
88,2.1372,1.0819
89,-0.0059503,-0.31387
90,-0.51552,-0.30398
91,-0.43951,-0.41516
92,0.4937,-0.27396
93,-0.99723,0.062834
94,0.55747,0.16234
95,-0.27528,0.48625
96,2.5121,-0.14934
97,2.5486,0.19331
98,0.21709,0.78735
99,0.43718,-0.16072
100,-0.14365,-0.56591
101,0.0031849,-0.29701
102,0.87736,-0.39493
103,1.3928,0.44727
104,1.09,0.5552
105,0.2181,0.52031
