,0
0,0.5190184595295095
1,0.5408147517955009
2,0.5259808479908198
3,0.5859377163998971
4,0.5646726549670578
5,0.5187563065112875
6,0.5124290208337455
7,0.5249787309815405
8,0.4962554656431158
9,0.5337247492234336
10,0.4953517796727539
11,0.4916739212155986
12,0.4917986664820055
13,0.5541954375482263
14,0.5174445521635044
15,0.5009168430841067
16,0.5056343113784303
17,0.5038829313653721
18,0.5321983261777101
19,0.478964446115189
20,0.5429535247215242
21,0.5344934016579942
22,0.506087786637121
23,0.5203589023207962
24,0.5774518726628811
25,0.5317927309419702
26,0.5551233603070653
27,0.5327147181607741
28,0.5312436934887126
29,0.5401014977346023
30,0.5077832736481808
31,0.47749045367311
32,0.5611202342559801
33,0.517733415111885
34,0.5104712818787963
35,0.5674336703401065
36,0.5538986605464654
37,0.5067718576261797
38,0.5343400668737511
39,0.6438280276200463
40,0.8779554043092022
41,0.5570583463585462
42,0.6520091803019212
43,0.5228963456858517
44,0.5414874463328255
45,0.650723146627624
46,0.5824050808222702
47,0.5386799358961677
48,0.5430346437686723
49,0.6150406584492413
50,0.5644935995093288
51,0.599835783392359
52,0.5489701838038898
53,0.5754614882377382
54,0.5620352966780762
55,0.5387224739330867
56,0.5346408009022021
57,0.5415586728132482
58,0.5659478068179571
59,0.6278218546584097
60,0.6349148250004947
61,0.6114397641612093
62,0.5464634073956829
63,0.7071701323625428
64,0.5641701125774093
65,0.4814365985398572
66,0.4811289397146984
67,0.4560146805690205
68,0.4873256435114655
69,0.5275527768434799
70,0.5348742654769207
71,0.5494638228834854
72,0.5597540707912075
73,0.5798023465168273
74,0.5131432641513167
75,0.5672377975189443
76,0.4895128900144432
77,0.5717408938923294
78,0.539686009932137
79,0.5378479710345647
80,0.5474150723146628
81,0.5773529469956276
82,0.6223710503927349
83,0.4757681578062244
84,0.510188354470451
85,0.5104564430287083
86,0.4909446411966049
87,0.5012207427339098
88,0.4995719120352967
89,0.4999015887462161
90,0.4904872089112241
91,0.5166848030389966
92,0.5689966958827137
93,0.4852620540925549
94,0.4989818273549256
95,0.5720337138674001
96,0.500985992125517
97,0.5130512632807709
98,0.5827859446411967
99,0.5486546109253507
100,0.5409364303662229
101,0.6039016283164831
102,0.5983993827038364
103,0.5676809845082406
104,0.4774024098292543
105,0.4891785212591259
106,0.5080043725144927
107,0.639781967829373
108,0.5859941040302317
109,0.5066821320459807
110,0.552890607997151
111,0.489357576716855
112,0.4843905189640504
113,0.4658459133806858
114,0.5329244405753517
115,0.5628999070098728
116,0.5406525137012049
117,0.6288012187642206
118,0.589423856913915
119,0.6842688403933285
